# Ursine 1
#Nature / Etymology Oriented / Greek / Latin / Anatomy
# Created by HoneyTheYellowBear



#https://en.wikipedia.org/wiki/List_of_individual_bears
#https://en.wikipedia.org/wiki/List_of_ursids
#https://en.wikipedia.org/wiki/List_of_fictional_bears (has folklore section)

URSINE1 = {
	category = "Ursine"
	ship_names = {
		generic = {
		 URSINE1_SHIP_Ursa_Major URSINE1_SHIP_Ursa_Minor URSINE1_SHIP_Alveus_Hippocampi URSINE1_SHIP_Aquaeductus_Cerebri URSINE1_SHIP_Adhaesio_Interthalamica URSINE1_SHIP_Bulbus_Olfactorius URSINE1_SHIP_Vasa_Sanguinea URSINE1_SHIP_Cornu_Ammonis URSINE1_SHIP_Corpus_Amygdaloideum URSINE1_SHIP_Corpus_Callosum URSINE1_SHIP_Commissura_Caudalis URSINE1_SHIP_Capsula_Externa URSINE1_SHIP_Capsula_Extrema URSINE1_SHIP_Corpus_Fornicis URSINE1_SHIP_Capsula_Interna URSINE1_SHIP_Columna_Fornicis URSINE1_SHIP_Corpus_Mamillare URSINE1_SHIP_Cornu_Dorsale URSINE1_SHIP_Cornu_Ventrale URSINE1_SHIP_Colliculus_Caudalis URSINE1_SHIP_Chiasma_Opticum URSINE1_SHIP_Colliculus_Rostralis URSINE1_SHIP_Corpus_Subthalamicum URSINE1_SHIP_Decussatio_Pyramidum URSINE1_SHIP_Fasciculus_Cuneatus URSINE1_SHIP_Fissura_Pseudosylvia URSINE1_SHIP_Gyrus_Parahippocampalis URSINE1_SHIP_Lobulus_Ansiformis URSINE1_SHIP_Lemniscus_Medialis URSINE1_SHIP_Nucleus_Accumbens URSINE1_SHIP_Medulla_Oblongata URSINE1_SHIP_Nucleus_Ruber URSINE1_SHIP_Sulcus_Ansatus URSINE1_SHIP_Pedunculus_Flocculi URSINE1_SHIP_Tractus_Opticus URSINE1_SHIP_Uvula_Vermis URSINE1_SHIP_Fossa_Rhomboidea URSINE1_SHIP_Pallium_Dorsale URSINE1_SHIP_Sulcus_Endomarginalis URSINE1_SHIP_Zona_Incerta URSINE1_SHIP_Nucleus_Lentiformis URSINE1_SHIP_Nervus_Opticus URSINE1_SHIP_Sulcus_Praesylvius URSINE1_SHIP_Sulcus_Basilaris URSINE1_SHIP_Pyramis_Vermis URSINE1_SHIP_Nuclei_Rhaphe URSINE1_SHIP_Lobus_Piriformis URSINE1_SHIP_Glandula_Pinealis URSINE1_SHIP_Gyrus_Cinguli URSINE1_SHIP_Funiculus_Dorsalis URSINE1_SHIP_Ventriculus_Tertius URSINE1_SHIP_Tuber_Vermis URSINE1_SHIP_Tractus_Pyramidalis URSINE1_SHIP_Sulcus_Suprasplenialis URSINE1_SHIP_Sulcus_Proreus URSINE1_SHIP_Sulcus_Postcruciatus URSINE1_SHIP_Substantia_Nigra URSINE1_SHIP_Ectosylvius_Caudalis URSINE1_SHIP_Ectosylvius_Rostralis URSINE1_SHIP_Grisea_Centralis URSINE1_SHIP_Septum_Pellucidum URSINE1_SHIP_Septum_Cellulare URSINE1_SHIP_Sulcus_Cinguli URSINE1_SHIP_Paraflocculus_Dorsalis URSINE1_SHIP_Parafloculus_Ventralis URSINE1_SHIP_Plexus_Chorioideus URSINE1_SHIP_Cerebellaris_Caudalis URSINE1_SHIP_Cerebellaris_Medius URSINE1_SHIP_Cereballaris_Rostralis URSINE1_SHIP_Nervus_Hypoglossus URSINE1_SHIP_Nervus_Vestibulocochlearis URSINE1_SHIP_Nervus_Abducens URSINE1_SHIP_Nervus_Trigeminus
		}

		corvette = {
		}

		destroyer = {
		}

